label,image
он благополучно избегнул,sliced\orig_1_1.jpg
встречи с своею,sliced\orig_1_11.jpg
хозяйкой на лестнице,sliced\orig_1_13.jpg
каморка его приходилась,sliced\orig_1_15.jpg
под самою кровлей,sliced\orig_1_17.jpg
высокого пятиэтажного дома,sliced\orig_1_19.jpg
и походила более,sliced\orig_1_20.jpg
на шкаф чем,sliced\orig_1_22.jpg
на квартиру квартирная,sliced\orig_1_24.jpg
же хозяйка его,sliced\orig_1_26.jpg
у которой он,sliced\orig_1_28.jpg
нанимал эту каморку,sliced\orig_1_3.jpg
с обедом и,sliced\orig_1_31.jpg
прислугой помещалась одною,sliced\orig_1_33.jpg
лестницей ниже в,sliced\orig_1_35.jpg
отдельной квартире и,sliced\orig_1_37.jpg
каждый раз при,sliced\orig_1_39.jpg
выходе на улицу,sliced\orig_1_5.jpg
ему непременно надо,sliced\orig_1_7.jpg
было проходить мимо,sliced\orig_1_9.jpg
